model,test,book,characters,errors,insertions,deletions,substitutions,arabic_count,arabic_missed
pdf-gen1-print-n7m5-nall-ft_best,aocp_ms_eval,leipzig_b_or_230b,1407,196,77,44,75,1153,128
pdf-gen1-print-n7m5-nall-ft_best,aocp_ms_eval,leipzig_cod_turc_104,3490,534,244,164,126,3010,342
pdf-gen1-print-n7m5-nall-ft_best,aocp_ms_eval,leipzig_vollers_110,1307,158,46,29,83,1090,121
pdf-gen1-print-n7m5-nall-ft_best,aocp_ms_eval,leipzig_vollers_226,1787,240,157,21,62,1425,102
pdf-gen1-print-n7m5-nall-ft_best,aocp_ms_eval,leipzig_vollers_393,717,40,10,12,18,601,18
pdf-gen1-print-n7m5-nall-ft_best,aocp_ms_eval,leipzig_vollers_656,967,183,98,18,67,809,149
pdf-gen1-print-n7m5-nall-ft_best,aocp_ms_eval,leipzig_vollers_659,1119,213,118,16,79,897,154
pdf-gen1-print-n7m5-nall-ft_best,aocp_ms_eval,leipzig_vollers_686,1738,122,33,25,64,1438,84
pdf-gen1-print-n7m5-nall-ft_best,aocp_ms_eval,leipzig_vollers_778,1302,144,46,22,76,1091,108
pdf-gen1-print-n7m5-nall-ft_best,aocp_ms_eval,leipzig_vollers_832,1302,260,107,34,119,1089,207
pdf-gen1-print-n7m5-nall-ft_best,aocp_ms_eval,mcgill_manuscript_40,1411,133,52,18,63,1178,111
pdf-gen1-print-n7m5-nall-ft_best,aocp_ms_eval,michigan_isl_ms_193,1743,311,184,35,92,1444,255
pdf-gen1-print-n7m5-nall-ft_best,aocp_ms_eval,michigan_isl_ms_353,985,293,185,14,94,778,224
pdf-gen1-print-n7m5-nall-ft_best,aocp_ms_eval,michigan_isl_ms_691_1,1207,163,69,32,62,993,100
pdf-gen1-print-n7m5-nall-ft_best,aocp_ms_eval,michigan_isl_ms_943,788,96,41,10,45,652,75
pdf-gen1-print-n7m5-nall-ft_best,aocp_ms_eval,national_library_of_israel_ms_ar_497,1886,116,64,24,28,1555,83
pdf-gen1-print-n7m5-nall-ft_best,aocp_ms_eval,national_library_of_israel_ms_yah_ar_256,1071,119,57,17,45,899,94
pdf-gen1-print-n7m5-nall-ft_best,aocp_ms_eval,princeton_garrett_no_1393Yy,1158,217,110,14,93,940,155
pdf-gen1-print-n7m5-nall-ft_best,aocp_ms_eval,princeton_garrett_no_1856Y,1013,228,81,26,121,806,179
pdf-gen1-print-n7m5-nall-ft_best,aocp_ms_eval,princeton_garrett_no_302b,1203,147,43,38,66,976,92
pdf-gen1-print-n7m5-nall-ft_best,aocp_ms_eval,princeton_garrett_no_556h,1809,322,70,65,187,1484,228
pdf-gen1-print-n7m5-nall-ft_best,aocp_ms_eval,princeton_garrett_no_900h,1177,147,69,15,63,942,112
pdf-gen1-print-n7m5-nall-ft_best,aocp_ms_eval,princeton_isl_ms_garrett_no_131w,1214,326,172,32,122,951,263
pdf-gen1-print-n7m5-nall-ft_best,aocp_ms_eval,princeton_isl_ms_garrett_no_1454y,1199,174,82,33,59,956,109
pdf-gen1-print-n7m5-nall-ft_best,aocp_ms_eval,princeton_isl_ms_new_series_no_544,2212,525,265,61,199,1721,400
pdf-gen1-print-n7m5-nall-ft_best,aocp_ms_eval,princeton_new_series_no_1010,1521,484,211,64,209,1246,362
pdf-gen1-print-n7m5-nall-ft_best,aocp_ms_eval,princeton_new_series_no_1537,1239,141,75,26,40,1015,103
pdf-gen1-print-n7m5-nall-ft_best,aocp_ms_eval,princeton_new_series_no_1715,1647,300,140,68,92,1351,192
pdf-gen1-print-n7m5-nall-ft_best,aocp_ms_eval,princeton_new_series_no_202q_oversize,2064,365,198,29,138,1591,222
pdf-gen1-print-n7m5-nall-ft_best,aocp_ms_eval,princeton_new_series_no_2030,843,136,47,19,70,709,107
pdf-gen1-print-n7m5-nall-ft_best,aocp_ms_eval,rbsc_islam_ms_isl_0097,2235,472,257,64,151,1736,249
pdf-gen1-print-n7m5-nall-ft_best,aocp_ms_eval,rbsc_ms_bw_ivanow_0157,1531,477,263,46,168,1185,354
pdf-gen1-print-n7m5-nall-ft_best,aocp_ms_eval,sbb_glaser_96,1768,445,133,61,251,1460,346
pdf-gen1-print-n7m5-nall-ft_best,aocp_ms_eval,sbb_sprenger_275,911,229,92,3,134,763,214
pdf-gen1-print-n7m5-nall-ft_best,aocp_ms_eval,sbzb_diez_a_quart_67,1608,316,119,47,150,1345,243
pdf-gen1-print-n7m5-nall-ft_best,aocp_ms_eval,sbzb_diez_a_quart_95,804,177,59,18,100,673,153
pdf-gen1-print-n7m5-nall-ft_best,aocp_ms_eval,sbzb_glaser_18,1677,298,141,26,131,1332,198
pdf-gen1-print-n7m5-nall-ft_best,aocp_ms_eval,sbzb_landberg_232,2088,160,57,25,78,1720,125
pdf-gen1-print-n7m5-nall-ft_best,aocp_ms_eval,sbzb_ms_or_fol_4181,2007,780,502,59,219,1608,610
pdf-gen1-print-n7m5-nall-ft_best,aocp_ms_eval,sbzb_ms_or_oct_265,1609,342,216,28,98,1302,274
